"";"month.of.tweet";"day.of.tweet";"day.of.week";"hour.of.tweet";"period.of.tweet";"text";"route";"routetype";"disrupt";"disrupt_reason";"reasongroup"
"1";"6";"30";"Saturday";"23";"Evening";"12 detour eastbound via st clair ave e midland ave and danforth rd due to collision.";"12";"bus";"detour";"to collision";"collision on the road"
"2";"6";"30";"Saturday";"22";"Evening";"501 detour via spadina ave king st west and church st due to police activity. shuttle buses operating.";"501";"streetcar";"detour";"to police activity";"police/security"
"3";"6";"30";"Saturday";"22";"Evening";"line 1 minor delays northbound near davisville while we respond to emergency alarm.";"line 1";"subway";"delay";"emergency alarm";"emergency alarm"
"4";"6";"30";"Saturday";"20";"Evening";"line 1 minor delays northbound near wilson while we respond to emergency alarm.";"line 1";"subway";"delay";"emergency alarm";"emergency alarm"
"5";"6";"30";"Saturday";"20";"Evening";"501 detour via spadina ave king st west and church st due to police activity.";"501";"streetcar";"detour";"to police activity";"police/security"
"6";"6";"30";"Saturday";"20";"Evening";"510 detour northbound via king st w bathurst st and college st due to police activity.";"510";"streetcar";"detour";"to police activity";"police/security"
"7";"6";"30";"Saturday";"18";"Midday";"511 no service between bathurst station and queen st west while we fix mechanical problem.";"511";"streetcar";"no service";"mechanical problem";"mechanical"
"8";"6";"30";"Saturday";"16";"Midday";"63 detour northbound via davenport rd christie st and st clair ave west due to collision.";"63";"bus";"detour";"to collision";"collision on the road"
"9";"6";"30";"Saturday";"16";"Midday";"161 detour via davenport rd dufferin st and st clair ave west due to collision.";"161";"bus";"detour";"to collision";"collision on the road"
"10";"6";"30";"Saturday";"16";"Midday";"127 detour via dovercourt rd geary ave and ossington ave due to collision.";"127";"bus";"detour";"to collision";"collision on the road"
"11";"6";"30";"Saturday";"16";"Midday";"86 detour via morningside ave and lawrence ave east due to collision.";"86";"bus";"detour";"to collision";"collision on the road"
"12";"6";"30";"Saturday";"16";"Midday";"198 detour via morningside ave and lawrence ave east due to collision.";"198";"bus";"detour";"to collision";"collision on the road"
"13";"6";"30";"Saturday";"16";"Midday";"43 detour northbound via passmore ave and silver star blvd due to broken railway crossing.";"43";"bus";"detour";"to broken railway crossing";"blockage on the road/rail"
"14";"6";"30";"Saturday";"15";"Midday";"53 detour via silver star blvd passmore ave and kennedy rd due to collision.";"53";"bus";"detour";"to collision";"collision on the road"
"15";"6";"30";"Saturday";"15";"Midday";"501 no service between s kingsway and roncesvalles ave while we fix mechanical problem.";"501";"streetcar";"no service";"mechanical problem";"mechanical"
"16";"6";"30";"Saturday";"13";"Midday";"line 2 trains are not stopping at dufferin due to fire.";"line 2";"subway";"bypass";"to fire";"fire"
"17";"6";"30";"Saturday";"13";"Midday";"501 no service at burlington st while we fix mechanical problem. shuttle buses are running between burlington st and long branch loop.";"501";"streetcar";"no service";"mechanical problem";"mechanical"
"18";"6";"30";"Saturday";"13";"Midday";"line 2 major delays westbound from donlands to bloor-yonge while we respond to medical emergency.";"line 2";"subway";"delay";"medical emergency";"medical"
"19";"6";"30";"Saturday";"11";"Morning";"121 detour via spadina ave and front st west due to blue jays game.";"121";"bus";"detour";"to blue jays game";"activities/protest"
"20";"6";"30";"Saturday";"11";"Morning";"33 detour northbound via st clair ave w bathurst st tichester rd and spadina rd due to collision.";"33";"bus";"detour";"to collision";"collision on the road"
"21";"6";"30";"Saturday";"11";"Morning";"512 no service between st clair station and stclairwest station due to collision.";"512";"streetcar";"no service";"to collision";"collision on the road"
"22";"6";"30";"Saturday";" 7";"Morning";"32 detour westbound via jane st and emmett ave due to collision.";"32";"bus";"detour";"to collision";"collision on the road"
"23";"6";"30";"Saturday";" 7";"Morning";"511 detour southbound via king st w spadina ave and queens quay west while we fix brake problem.";"511";"streetcar";"detour";"brake problem";"mechanical"
"24";"6";"30";"Saturday";" 6";"Morning";"line 3 no service while we fix signal problem.";"line 3";"subway";"no service";"signal problem";"signal problem"
"25";"6";"30";"Saturday";" 4";"Late night";"301 detour westbound via shaw st king st west and roncesvalles ave due to collision.";"301";"bus";"detour";"to collision";"collision on the road"
"26";"6";"30";"Saturday";" 1";"Late night";"line 2 major delays eastbound near lansdowne while we respond to emergency alarm.";"line 2";"subway";"delay";"emergency alarm";"emergency alarm"
"27";"6";"30";"Saturday";" 1";"Late night";"line 1 minor delays northbound near glencairn while we respond to emergency alarm.";"line 1";"subway";"delay";"emergency alarm";"emergency alarm"
"28";"6";"30";"Saturday";" 0";"Late night";"504 streetcars are not stopping westbound at springhurst ave while we respond to medical emergency.";"504";"streetcar";"bypass";"medical emergency";"medical"
"29";"6";"29";"Friday";"22";"Evening";"line 2 major delays westbound near st george due to security incident.";"line 2";"subway";"delay";"to security incident";"police/security"
"30";"6";"29";"Friday";"22";"Evening";"line 1 major delays northbound near st patrick while we respond to emergency alarm.";"line 1";"subway";"delay";"emergency alarm";"emergency alarm"
"31";"6";"29";"Friday";"20";"Evening";"eglintonwest elevator out of service between eglinton ave west entrance and line 1 northbound platform. alternatives URL";"eglintonwest";"elevator";"elevator down";NA;NA
"32";"6";"29";"Friday";"19";"Evening Rush";"line 1 minor delays northbound near queen while we fix mechanical problem.";"line 1";"subway";"delay";"mechanical problem";"mechanical"
"33";"6";"29";"Friday";"18";"Evening Rush";"501 detour eastbound via shaw st king st west and spadina ave while we fix mechanical problem.";"501";"streetcar";"detour";"mechanical problem";"mechanical"
"34";"6";"29";"Friday";"18";"Evening Rush";"161 detour via ossington ave and hallam st due to collision.";"161";"bus";"detour";"to collision";"collision on the road"
"35";"6";"29";"Friday";"18";"Evening Rush";"26 detour westbound via dovercourt rd davenport rd and dufferin st due to collision.";"26";"bus";"detour";"to collision";"collision on the road"
"36";"6";"29";"Friday";"17";"Evening Rush";"501 no service between church st and greenwood ave due to collision.";"501";"streetcar";"no service";"to collision";"collision on the road"
"37";"6";"29";"Friday";"15";"Midday";"502 no service between kingston rd and bingham loop due to collision.";"502";"streetcar";"no service";"to collision";"collision on the road"
"38";"6";"29";"Friday";"14";"Midday";"57 detour southbound via mcnicoll ave kennedy ave and finch ave east due to collision.";"57";"bus";"detour";"to collision";"collision on the road"
"39";"6";"29";"Friday";"12";"Midday";"501 no service between roncesvalles ave and humber loop while we fix mechanical problem.";"501";"streetcar";"no service";"mechanical problem";"mechanical"
"40";"6";"29";"Friday";"11";"Midday";"sheppard-yonge elevator out of service between bus platform and north tunnel. alternatives URL";"sheppard-yonge";"elevator";"elevator down";NA;NA
"41";"6";"29";"Friday";"11";"Midday";"512 no service between vaughan rd and st clair station while we fix mechanical problem. shuttle buses are on way.";"512";"streetcar";"no service";"mechanical problem";"mechanical"
"42";"6";"29";"Friday";"10";"Midday";"60 detour westbound via finch ave w kipling ave kidron valley dr gihon spring dr and martin grove rd due to police activity.";"60";"bus";"detour";"to police activity";"police/security"
"43";"6";"29";"Friday";" 9";"Morning Rush";"111 detour northbound via redgrave dr due to construction.";"111";"bus";"detour";"to construction";"construction"
"44";"6";"29";"Friday";" 8";"Morning Rush";"501 detour eastbound via shaw st king st west and spadina ave while we respond to medical emergency.";"501";"streetcar";"detour";"medical emergency";"medical"
"45";"6";"29";"Friday";" 7";"Morning Rush";"46 detour southbound via belfield rd kipling ave and westway due to collision.";"46";"bus";"detour";"to collision";"collision on the road"
"46";"6";"29";"Friday";" 6";"Morning Rush";"501 no service between long branch loop and kipling ave while we fix mechanical problem.";"501";"streetcar";"no service";"mechanical problem";"mechanical"
"47";"6";"29";"Friday";" 6";"Morning Rush";"37b detour via friuli ct due to collision.";"37";"bus";"detour";"to collision";"collision on the road"
"48";"6";"29";"Friday";" 5";"Late night";"45 detour northbound via annabelle dr and beaconhill rd due to police activity.";"45";"bus";"detour";"to police activity";"police/security"
"49";"6";"29";"Friday";" 2";"Late night";"337 detour turning back at islington due to collision at steeles and islington.";"337";"bus";"detour";"to collision at steeles and islington";"collision on the road"
"50";"6";"29";"Friday";" 2";"Late night";"60 detour westbound via rossdean dr garyray dr and weston rd due to collision at steeles and weston.";"60";"bus";"detour";"to collision at steeles and weston";"collision on the road"
"51";"6";"29";"Friday";" 1";"Late night";"60 detour via gihon spring dr kidron valley dr kipling ave finch ave west and islington ave due to collision @steeles and kipling.";"60";"bus";"detour";"to collision @steeles and kipling";"collision on the road"
"52";"6";"29";"Friday";" 1";"Late night";"45 detour via markbrook lane steeles ave w islington ave and finch ave west due to collision at kipling and steeles.";"45";"bus";"detour";"to collision at kipling and steeles";"collision on the road"
"53";"6";"28";"Thursday";"21";"Evening";"501 minor delays westbound near park lawn rd due to police activity.";"501";"streetcar";"delay";"to police activity";"police/security"
"54";"6";"28";"Thursday";"21";"Evening";"501 detour via dufferin and king st west while we fix mechanical problem.";"501";"streetcar";"detour";"mechanical problem";"mechanical"
"55";"6";"28";"Thursday";"20";"Evening";"102 detour via parkway wootten way and highway due to collision.";"102";"bus";"detour";"to collision";"collision on the road"
"56";"6";"28";"Thursday";"18";"Evening Rush";"sheppardwest elevator out of service between sheppard ave west north side entrance and concourse. alternatives URL";"sheppardwest";"elevator";"elevator down";NA;NA
"57";"6";"28";"Thursday";"16";"Evening Rush";"main street elevator out of service between concourse and line 2 westbound platform. alternatives URL";"main street";"elevator";"elevator down";NA;NA
"58";"6";"28";"Thursday";"16";"Evening Rush";"kipling elevator out of service between bus platform and line 2 platform. alternatives URL";"kipling";"elevator";"elevator down";NA;NA
"59";"6";"28";"Thursday";"16";"Evening Rush";"501 minor delays near woodfield rd while we fix mechanical problem.";"501";"streetcar";"delay";"mechanical problem";"mechanical"
"60";"6";"28";"Thursday";"16";"Evening Rush";"line 2 no service between ossington and broadview while we deal with trespasser on tracks.";"line 2";"subway";"no service";"trespasser on tracks";"person on track"
"61";"6";"28";"Thursday";"14";"Midday";"line 1 minor delays northbound near stclairwest while we respond to medical emergency.";"line 1";"subway";"delay";"medical emergency";"medical"
"62";"6";"28";"Thursday";"12";"Midday";"vaughan elevator out of service between concourse and line 1 platform.";"vaughan";"elevator";"elevator down";NA;NA
"63";"6";"28";"Thursday";"10";"Midday";"26 detour eastbound via armadale ave and colbeck st due to fire.";"26";"bus";"detour";"to fire";"fire"
"64";"6";"28";"Thursday";"10";"Midday";"501 major delays westbound from bay st to university ave due to construction.";"501";"streetcar";"delay";"to construction";"construction"
"65";"6";"28";"Thursday";" 9";"Morning Rush";"35 detour northbound via armadale ave and colbeck st due to fire.";"35";"bus";"detour";"to fire";"fire"
"66";"6";"28";"Thursday";" 8";"Morning Rush";"511 minor delays southbound at nassau st (toronto western hospital) while we respond to medical emergency.";"511";"streetcar";"delay";"medical emergency";"medical"
"67";"6";"28";"Thursday";" 7";"Morning Rush";"line 2 minor delays eastbound from greenwood to kennedy while we fix mechanical problem.";"line 2";"subway";"delay";"mechanical problem";"mechanical"
"68";"6";"28";"Thursday";" 6";"Morning Rush";"54 detour westbound via railside rd due to collision at lawrence at curlew.";"54";"bus";"detour";"to collision at lawrence at curlew";"collision on the road"
"69";"6";"28";"Thursday";" 6";"Morning Rush";"501 minor delays westbound at empire ave while we fix mechanical problem.";"501";"streetcar";"delay";"mechanical problem";"mechanical"
"70";"6";"27";"Wednesday";"21";"Evening";"stclairwest elevator out of service between bus and streetcar platform south concourse and line 1 southbound platform.";"stclairwest";"elevator";"elevator down";NA;NA
"71";"6";"27";"Wednesday";"18";"Evening Rush";"512 no service westbound at yonge st due to collision.";"512";"streetcar";"no service";"to collision";"collision on the road"
"72";"6";"27";"Wednesday";"17";"Evening Rush";"line 1 minor delays northbound from wilson to downsview park while we respond to medical emergency.";"line 1";"subway";"delay";"medical emergency";"medical"
"73";"6";"27";"Wednesday";"15";"Midday";"512 no service between lansdowne ave and gunns loop due to blocked track.";"512";"streetcar";"no service";"to blocked track";"blockage on the road/rail"
"74";"6";"27";"Wednesday";"15";"Midday";"506 no service at high park station due to police activity.";"506";"streetcar";"no service";"to police activity";"police/security"
"75";"6";"27";"Wednesday";"15";"Midday";"30 no service at high park station due to police activity.";"30";"bus";"no service";"to police activity";"police/security"
"76";"6";"27";"Wednesday";"14";"Midday";"line 2 no service between jane and keele due to police activity.";"line 2";"subway";"no service";"to police activity";"police/security"
"77";"6";"27";"Wednesday";"14";"Midday";"line 2 has major delays westbound from bathurst to keele while we respond to medical emergency.";"line 2";"subway";"delay";"medical emergency";"medical"
"78";"6";"27";"Wednesday";"13";"Midday";"512 detour eastbound via lansdowne avenue due to blocked track. shuttle buses are on way.";"512";"streetcar";"detour";"to blocked track";"blockage on the road/rail"
"79";"6";"27";"Wednesday";"13";"Midday";"504 detour westbound via kingston rd due to stalled streetcar.";"504";"streetcar";"detour";"to stalled streetcar";"stalled streetcar"
"80";"6";"27";"Wednesday";"13";"Midday";"117 detour via sheppard ave west and chesswood dr due to collision.";"117";"bus";"detour";"to collision";"collision on the road"
"81";"6";"27";"Wednesday";"12";"Midday";"line 1 major delays near yorkdale due to power off.";"line 1";"subway";"delay";"to power off";"power problem"
"82";"6";"27";"Wednesday";"11";"Midday";"kipling elevator out of service between bus platform and line 2 platform.";"kipling";"elevator";"elevator down";NA;NA
"83";"6";"27";"Wednesday";"11";"Midday";"504 service holding eastbound eastbound at sherbourne st due to police activity.";"504";"streetcar";"delay";"to police activity";"police/security"
"84";"6";"27";"Wednesday";"10";"Midday";"kennedy elevator out of service between concourse and line 2 platform. alternatives URL";"kennedy";"elevator";"elevator down";NA;NA
"85";"6";"27";"Wednesday";" 9";"Morning Rush";"6 detour southbound via queen st w university ave and adelaide st west due to police activity.";"6";"bus";"detour";"to police activity";"police/security"
"86";"6";"27";"Wednesday";" 9";"Morning Rush";"502 & 504 b no service between kingston rd and neville loop while we fix mechanical problem. shuttles operating.";"502";"streetcar";"no service";"mechanical problem";"mechanical"
"87";"6";"27";"Wednesday";" 9";"Morning Rush";"502 & 504 b no service between kingston rd and neville loop while we fix mechanical problem. shuttles operating.";"504";"streetcar";"no service";"mechanical problem";"mechanical"
"88";"6";"27";"Wednesday";" 9";"Morning Rush";"26 detour eastbound via windermere ave colbeck st and evans ave due to collision.";"26";"bus";"detour";"to collision";"collision on the road"
"89";"6";"27";"Wednesday";" 8";"Morning Rush";"55 detour northbound via windermere ave colbeck st evans ave and ardagh st due to collision.";"55";"bus";"detour";"to collision";"collision on the road"
"90";"6";"27";"Wednesday";" 8";"Morning Rush";"line 1 minor delays southbound from stclairwest to union due to early delay.";"line 1";"subway";"delay";"to early delay";"earlier delay"
"91";"6";"27";"Wednesday";" 8";"Morning Rush";"line 2 minor delays eastbound near dundaswest while we fix door problem. ";"line 2";"subway";"delay";"door problem";"mechanical"
"92";"6";"27";"Wednesday";" 8";"Morning Rush";"customers will experience longer than normal wait times northbound on line 1 from bloor to york mills station due to early delay. ";"line 1";"subway";"delay";"to early delay";"earlier delay"
"93";"6";"27";"Wednesday";" 7";"Morning Rush";"501 queen holding eastbound at queen and carlaw due to stalled streetcar. ";"501";"streetcar";"delay";"to stalled streetcar";"stalled streetcar"
"94";"6";"27";"Wednesday";" 7";"Morning Rush";"customers will experience longer than normal travel times on line 2 eastbound between woodbine to kennedy due to early delay. ";"line 2";"subway";"delay";"to early delay";"earlier delay"
"95";"6";"27";"Wednesday";" 6";"Morning Rush";"line 1 minor delays northbound near sheppardwest while we fix mechanical problem.";"line 1";"subway";"delay";"mechanical problem";"mechanical"
"96";"6";"27";"Wednesday";" 5";"Late night";"512 st clair turning back at stclairwest station due to mechanical difficulties on board streetcar. shuttle buses operating. ";"512";"streetcar";"no service";"to mechanical difficulties on board streetcar";"mechanical"
"97";"6";"27";"Wednesday";" 3";"Late night";"329 detour southbound via bridgeland ave caledon rd and orfus rd due to collision at dufferin and jane olsler";"329";"bus";"detour";"to collision at dufferin and jane olsler";"collision on the road"
"98";"6";"27";"Wednesday";" 1";"Late night";"61 detour via oriole parkwy chaplin cres yonge st and berwick ave due to construction at eglinton and oriole parkway.";"61";"bus";"detour";"to construction at eglinton and oriole parkway";"construction"
"99";"6";"27";"Wednesday";" 1";"Late night";"332 detour via oriole parkwy chaplin cres yonge st and berwick ave due to construction at eglinton and oriole parkway.";"332";"bus";"detour";"to construction at eglinton and oriole parkway";"construction"
"100";"6";"27";"Wednesday";" 1";"Late night";"32 detour via oriole parkwy chaplin cres yonge st and berwick ave due to construction at eglinton and oriole parkway.";"32";"bus";"detour";"to construction at eglinton and oriole parkway";"construction"
"101";"6";"27";"Wednesday";" 1";"Late night";"29 detour southbound via bridgeland ave caledon rd and orfus rd due to collision at dufferin and jane olsler. ";"29";"bus";"detour";"to collision at dufferin and jane olsler";"collision on the road"
"102";"6";"27";"Wednesday";" 1";"Late night";"line 3 no service due to power failure at lawrenceeast station ";"line 3";"subway";"no service";"to power failure at lawrenceeast station ";"power problem"
"103";"6";"26";"Tuesday";"22";"Evening";"504 detour eastbound via spadina ave queen st west and church st due to collision at king and blue jays way. .";"504";"streetcar";"detour";"to collision at king and blue jays way";"activities/protest"
"104";"6";"26";"Tuesday";"22";"Evening";"line 1 minor delays northbound from eglintonwest to vaughan due to earlier delay. ";"line 1";"subway";"delay";"to earlier delay";"earlier delay"
"105";"6";"26";"Tuesday";"19";"Evening Rush";"504 a turning back westbound via church st due to collision.";"504";"streetcar";"no service";"to collision";"collision on the road"
"106";"6";"26";"Tuesday";"19";"Evening Rush";"504 b 504 c detour eastbound via parliament st and queen st east due to collision.";"504";"streetcar";"detour";"to collision";"collision on the road"
"107";"6";"26";"Tuesday";"19";"Evening Rush";"504 b 504 c detour eastbound via parliament st and queen st east due to collision.";"504";"streetcar";"detour";"to collision";"collision on the road"
"108";"6";"26";"Tuesday";"16";"Evening Rush";"63 detour southbound via queen st west and strachan ave due to collision.";"63";"bus";"detour";"to collision";"collision on the road"
"109";"6";"26";"Tuesday";"16";"Evening Rush";"504 minor delays eastbound near shaw st due to collision.";"504";"streetcar";"delay";"to collision";"collision on the road"
"110";"6";"26";"Tuesday";"15";"Midday";"110 detour southbound via kipling ave lake shore blvd west and thirty eighth st due to construction.";"110";"bus";"detour";"to construction";"construction"
"111";"6";"26";"Tuesday";"14";"Midday";"501 no service between kipling avenue and long branch loop due to collision.";"501";"streetcar";"no service";"to collision";"collision on the road"
"112";"6";"26";"Tuesday";"13";"Midday";"501 no service between church street and connaught ave due to downed wire.";"501";"streetcar";"no service";"to downed wire";"blockage on the road/rail"
"113";"6";"26";"Tuesday";"12";"Midday";"line 1 has minor delays northbound from davisville to finch while we respond to emergency alarm.";"line 1";"subway";"delay";"emergency alarm";"emergency alarm"
"114";"6";"26";"Tuesday";"10";"Midday";"5 detour northbound via anderson ave and lascelles blvd due to construction.";"5";"bus";"detour";"to construction";"construction"
"115";"6";"26";"Tuesday";" 9";"Morning Rush";"110 detour southbound via kipling ave lake shore blvd west and thirty eighth st due to construction.";"110";"bus";"detour";"to construction";"construction"
"116";"6";"26";"Tuesday";" 9";"Morning Rush";"trains are turning back at ossignton and st george stations on line 2 due to mechanical difficulties on train at st george station";"line 2";"subway";"no service";"to mechanical difficulties on train at st george station";"mechanical"
"117";"6";"26";"Tuesday";" 8";"Morning Rush";"60 detour eastbound via highway s royalcrest rd and martin grove rd due to collision.";"60";"bus";"detour";"to collision";"collision on the road"
"118";"6";"26";"Tuesday";" 3";"Late night";"301 detour via church st richmond st east and victoria st due to hydro work at queen and carlaw. ";"301";"bus";"detour";"to hydro work at queen and carlaw";"watermain/sewer/road repairs"
"119";"6";"26";"Tuesday";" 1";"Late night";"87 detour via chicoutimi ave lumsden ave and danforth ave due to police activity main and gerrard. ";"87";"bus";"detour";"to police activity main and gerrard";"police/security"
"120";"6";"26";"Tuesday";" 1";"Late night";"62 detour via chisholm ave and danforth ave due to police activity at main and gerrard. ";"62";"bus";"detour";"to police activity at main and gerrard";"police/security"
"121";"6";"25";"Monday";"22";"Evening";"60 detour westbound via peter kaiser gt hullmar dr jane st and finch ave west due to collision at steeles and jane. ";"60";"bus";"detour";"to collision at steeles and jane";"collision on the road"
"122";"6";"25";"Monday";"22";"Evening";"queen's park elevator out of service between college st north side entrance and concourse. alternatives URL";"queen";"elevator";"elevator down";NA;NA
"123";"6";"25";"Monday";"21";"Evening";"72 detour southbound via harbour st yonge st and queens quay east due to movie shoot.";"72";"bus";"detour";"to movie shoot";"activities/protest"
"124";"6";"25";"Monday";"20";"Evening";"6 detour via yonge st and front st east due to movie shoot.";"6";"bus";"detour";"to movie shoot";"activities/protest"
"125";"6";"25";"Monday";"20";"Evening";"501 no service between kingston rd and neville park blvd while we respond to medical emergency.";"501";"streetcar";"no service";"medical emergency";"medical"
"126";"6";"25";"Monday";"18";"Evening Rush";"bloor-yonge elevator out of service between line 1 northbound platform and line 2 platform. alternatives URL";"bloor-yonge";"elevator";"elevator down";NA;NA
"127";"6";"25";"Monday";"18";"Evening Rush";"501 no service between kipling ave and long branch loop due to collision.";"501";"streetcar";"no service";"to collision";"collision on the road"
"128";"6";"25";"Monday";"16";"Evening Rush";"504 detour via spadina ave queen st east and church st due to collision.";"504";"streetcar";"detour";"to collision";"collision on the road"
"129";"6";"25";"Monday";"16";"Evening Rush";"line 2 has minor delays eastbound near donlands while we respond to medical emergency.";"line 2";"subway";"delay";"medical emergency";"medical"
"130";"6";"25";"Monday";"16";"Evening Rush";"line 2 minor delays westbound near greenwood while we respond to medical emergency.";"line 2";"subway";"delay";"medical emergency";"medical"
"131";"6";"25";"Monday";"15";"Midday";"111 detour northbound via redgrave dr and longbourne dr due to construction. ";"111";"bus";"detour";"to construction";"construction"
"132";"6";"25";"Monday";"15";"Midday";"96 118 119 165 186 detour via lexfield ave calvington dr and keele st due to fire.";"96";"bus";"detour";"to fire";"fire"
"133";"6";"25";"Monday";"15";"Midday";"96 118 119 165 186 detour via lexfield ave calvington dr and keele st due to fire.";"118";"bus";"detour";"to fire";"fire"
"134";"6";"25";"Monday";"15";"Midday";"96 118 119 165 186 detour via lexfield ave calvington dr and keele st due to fire.";"119";"bus";"detour";"to fire";"fire"
"135";"6";"25";"Monday";"15";"Midday";"96 118 119 165 186 detour via lexfield ave calvington dr and keele st due to fire.";"165";"bus";"detour";"to fire";"fire"
"136";"6";"25";"Monday";"15";"Midday";"96 118 119 165 186 detour via lexfield ave calvington dr and keele st due to fire.";"186";"bus";"detour";"to fire";"fire"
"137";"6";"25";"Monday";"14";"Midday";"line 3 minor delays while we fix mechanical problem.";"line 3";"subway";"delay";"mechanical problem";"mechanical"
"138";"6";"25";"Monday";"13";"Midday";"15 detour eastbound via kipling ave and horner ave due to collision.";"15";"bus";"detour";"to collision";"collision on the road"
"139";"6";"25";"Monday";"12";"Midday";"eglintonwest elevator out of service between eglinton ave west entrance and line 1 northbound platform. alternatives URL";"eglintonwest";"elevator";"elevator down";NA;NA
"140";"6";"25";"Monday";"11";"Midday";"36 detour eastbound via york university busway and dufferin st due to collision.";"36";"bus";"detour";"to collision";"collision on the road"
"141";"6";"25";"Monday";"11";"Midday";"line 1 major delays southbound near stclairwesthile we respond to medical emergency.";"line 1";"subway";"delay";NA;NA
"142";"6";"25";"Monday";"11";"Midday";"199 detour eastbound via york university busway and dufferin st due to collision.";"199";"bus";"detour";"to collision";"collision on the road"
"143";"6";"25";"Monday";"10";"Midday";"line 2 trains are not stopping at victoria park due to police activity.";"line 2";"subway";"bypass";"to police activity";"police/security"
"144";"6";"25";"Monday";" 9";"Morning Rush";"176 buses are not stopping southbound at park lawn loop due to construction.";"176";"bus";"bypass";"to construction";"construction"
"145";"6";"25";"Monday";" 9";"Morning Rush";"66 buses are not stopping southbound at humber bay park loop due to construction.";"66";"bus";"bypass";"to construction";"construction"
"146";"6";"25";"Monday";" 9";"Morning Rush";"line 2 minor delays eastbound from high park to lansdowne while we respond to medical emergency.";"line 2";"subway";"delay";"medical emergency";"medical"
"147";"6";"25";"Monday";" 9";"Morning Rush";"line 2 minor delays westbound from warden to chester due to restricted speed zone.";"line 2";"subway";"delay";"to restricted speed zone";"construction"
"148";"6";"25";"Monday";" 8";"Morning Rush";"route 31b detour via queen leslie eastern woodward queen due to downed hydro wire.";"31";"bus";"detour";"to downed hydro wire";"watermain/sewer/road repairs"
"149";"6";"25";"Monday";" 8";"Morning Rush";"line 1 minor delays southbound from lawrencewest to stclairwest";"line 1";"subway";"delay";NA;NA
"150";"6";"25";"Monday";" 7";"Morning Rush";"line 2 minor delays westbound from woodbine to chester while we fix mechanical problem.";"line 2";"subway";"delay";"mechanical problem";"mechanical"
"151";"6";"25";"Monday";" 5";"Late night";"501 queen service diverting westbound via spadina king shaw due to stalled streetcar at queen and bathurst ";"501";"streetcar";"detour";"to stalled streetcar at queen and bathurst ";"stalled streetcar"
"152";"6";"25";"Monday";" 0";"Late night";"116 detour via sewells rd neilson ave and finch ave east due to collision at morningside and old finch. ";"116";"bus";"detour";"to collision at morningside and old finch";"collision on the road"
"153";"6";"24";"Sun&Holiday";"23";"Evening";"79 detour via royal york larose due to construction at scarlett and eglinton. ";"79";"bus";"detour";"to construction at scarlett and eglinton";"construction"
"154";"6";"24";"Sun&Holiday";"20";"Evening";"512 no service between lansdowne ave and gunns loop due to police activity.";"512";"streetcar";"no service";"to police activity";"police/security"
"155";"6";"24";"Sun&Holiday";"18";"Midday";"501 no service between kingston rd and neville park blvd while we fix mechanical problem.";"501";"streetcar";"no service";"mechanical problem";"mechanical"
"156";"6";"24";"Sun&Holiday";"16";"Midday";"199 detour eastbound via don mills rd mcnicoll ave and victoria park ave due to collision.";"199";"bus";"detour";"to collision";"collision on the road"
"157";"6";"24";"Sun&Holiday";"16";"Midday";"39 detour eastbound via don mills rd mcnicoll ave and victoria park ave due to collision.";"39";"bus";"detour";"to collision";"collision on the road"
"158";"6";"24";"Sun&Holiday";"16";"Midday";"line 1 longer than normal wait times northbound between union and eglinton stations.";"line 1";"subway";"delay";NA;NA
"159";"6";"24";"Sun&Holiday";"15";"Midday";"501 detour eastbound via spadina ave king st west and church st due to collision.";"501";"streetcar";"detour";"to collision";"collision on the road"
"160";"6";"24";"Sun&Holiday";"14";"Midday";"bloor-yonge elevator out of service between north concourse and line 1 southbound platform.";"bloor-yonge";"elevator";"elevator down";NA;NA
"161";"6";"24";"Sun&Holiday";"13";"Midday";"505 detour via bay st queen st west and jarvis st due to parade.";"505";"streetcar";"detour";"to parade";"activities/protest"
"162";"6";"24";"Sun&Holiday";"13";"Midday";"506 detour via bay st dundas st west and parliament st due to parade.";"506";"streetcar";"detour";"to parade";"activities/protest"
"163";"6";"24";"Sun&Holiday";"13";"Midday";"line 2 has no service between jane and christie while we deal with trespasser on tracks.";"line 2";"subway";"no service";"trespasser on tracks";"person on track"
"164";"6";"24";"Sun&Holiday";"11";"Morning";"63 detour northbound via king st dufferin st queen st due to collision.";"63";"bus";"detour";"to collision";"collision on the road"
"165";"6";"24";"Sun&Holiday";"10";"Morning";"504a detour via shaw st queen st west due to collision.";"504";"streetcar";"detour";"to collision";"collision on the road"
"166";"6";"24";"Sun&Holiday";"10";"Morning";"504c detour via dufferin st queen st west and shaw st due to collision.";"504";"streetcar";"detour";"to collision";"collision on the road"
"167";"6";"24";"Sun&Holiday";" 9";"Morning";"109 detour via stockton rd highland hill and ranee ave due to police activity.";"109";"bus";"detour";"to police activity";"police/security"
"168";"6";"24";"Sun&Holiday";" 8";"Morning";"32 detour via caledonia rd rogers rd and oakwood ave due to construction.";"32";"bus";"detour";"to construction";"construction"
"169";"6";"24";"Sun&Holiday";" 8";"Morning";"71b runnymede southbound trips will run from industry street west on ray avenue south on weston road to route due to construction and turn restrictions at eglinton avenue west and weston road.";"71";"bus";"no service";"to construction and turn restrictions at eglinton avenue west and weston road";"construction"
"170";"6";"24";"Sun&Holiday";" 7";"Morning";"line 3 is closed from kennedy to mccowan stations for track upgrades. shuttle buses are operating between kennedy and scarborough centre stations.";"line 3";"subway";"no service";"track upgrades";"track problem/maintainance"
