"";"month.of.tweet";"day.of.tweet";"day.of.week";"hour.of.tweet";"period.of.tweet";"text";"route";"routetype";"disrupt";"disrupt_reason";"reasongroup"
"3377";"1";"26";"Friday";"23";"Evening";"504 king holding westbound king and queen due to investigation on board streetcar. ";"504";"streetcar";"delay";"to investigation on board streetcar";"police/security"
"3378";"1";"26";"Friday";"23";"Evening";"trains are holding on line 2 eastbound at royal york due to emergency alarm activated on train. ";"line 2";"subway";"delay";"to emergency alarm activated on train";"emergency alarm"
"3379";"1";"26";"Friday";"22";"Evening";"501 queen service turning back eastbound at kingston rd due to stalled streetcar at queen and glenmanor . ";"501";"streetcar";"no service";"to stalled streetcar at queen and glenmanor ";"stalled streetcar"
"3380";"1";"26";"Friday";"22";"Evening";"501 queen diverting westbound via coxwell gerrard and broadview due to stalled streetcar at queen and logan. ";"501";"streetcar";"detour";"to stalled streetcar at queen and logan";"stalled streetcar"
"3381";"1";"26";"Friday";"21";"Evening";"99 arrow is diverting both ways via arrow sheppard oakdale finch jane due to broken water main at arrow & finch. ";"99";"bus";"detour";"to broken water main at arrow & finch";"watermain/sewer/road repairs"
"3382";"1";"26";"Friday";"20";"Evening";"121 fort york-esplanade diverting eastbound via fleet fort york lakeshore dan leckie due to collision at fort york and bathurst";"121";"bus";"detour";"to collision at fort york and bathurst";"collision on the road"
"3383";"1";"26";"Friday";"19";"Evening Rush";"505 dundas diverting both ways via dundas college ossington due to emergency drain installation at dundas and dufferin. shuttle buses are operating. ";"505";"streetcar";"detour";"to emergency drain installation at dundas and dufferin";"watermain/sewer/road repairs"
"3384";"1";"26";"Friday";"19";"Evening Rush";"504 king turning back eastbound at roncevalles and queen due to medical emergency on board vehicle at roncesvalles and garden.";"504";"streetcar";"no service";"to medical emergency on board vehicle at roncesvalles and garden";"medical"
"3385";"1";"26";"Friday";"19";"Evening Rush";"line 2 service suspended at keele due to toronto fire investigation. during suspension trains will be turning back at jane and ossington. ";"line 2";"subway";"no service";"to toronto fire investigation";"fire"
"3386";"1";"26";"Friday";"18";"Evening Rush";"elevator alert vaughan metropolitan centre concourse level to subway platform out of service. ";"vaughan";"elevator";"elevator down";NA;NA
"3387";"1";"26";"Friday";"18";"Evening Rush";"line 2 customers may experience ten minute longer than normal travel times southbound between glencairn and spadina stations due to restricted speed zone.";"line 2";"subway";"delay";"to restricted speed zone";"construction"
"3388";"1";"26";"Friday";"16";"Evening Rush";"95 york mills diverting eastbound via york mills victoria park due to collision at parkwoods village and york mills.";"95";"bus";"detour";"to collision at parkwoods village and york mills";"collision on the road"
"3389";"1";"26";"Friday";"14";"Midday";"510 spadina turning back northbound at spadina and queens quay due to collision at queens quay and york.";"510";"streetcar";"no service";"to collision at queens quay and york";"collision on the road"
"3390";"1";"26";"Friday";"14";"Midday";"509 harbourfront turning back westbound at queens quay and spadina due to collision at queens quay and york.";"509";"streetcar";"no service";"to collision at queens quay and york";"collision on the road"
"3391";"1";"26";"Friday";"14";"Midday";"84c sheppardwest service diverting eastbound via finch oakdale sheppard due to broken watermain at arrow and finch.";"84";"bus";"detour";"to broken watermain at arrow and finch";"watermain/sewer/road repairs"
"3392";"1";"26";"Friday";"14";"Midday";"505 dundas diverting via howard park high park loop due to overhead wire issues at dundaswest station.";"505";"streetcar";"detour";"to overhead wire issues at dundaswest station";"power problem"
"3393";"1";"26";"Friday";"13";"Midday";"504 king turning back eastbound at roncesvalles and queen due to overhead wire issues at dundaswest station.";"504";"streetcar";"no service";"to overhead wire issues at dundaswest station";"power problem"
"3394";"1";"26";"Friday";"12";"Midday";"56 leaside 51 leslie 54 lawrenceeast 34 eglinton east diverting westbound via bessborough broadway banff due to collision at eglinton and bayview. ";"56";"bus";"detour";"to collision at eglinton and bayview";"collision on the road"
"3395";"1";"26";"Friday";"12";"Midday";"56 leaside 51 leslie 54 lawrenceeast 34 eglinton east diverting westbound via bessborough broadway banff due to collision at eglinton and bayview. ";"51";"bus";"detour";"to collision at eglinton and bayview";"collision on the road"
"3396";"1";"26";"Friday";"12";"Midday";"56 leaside 51 leslie 54 lawrenceeast 34 eglinton east diverting westbound via bessborough broadway banff due to collision at eglinton and bayview. ";"54";"bus";"detour";"to collision at eglinton and bayview";"collision on the road"
"3397";"1";"26";"Friday";"12";"Midday";"56 leaside 51 leslie 54 lawrenceeast 34 eglinton east diverting westbound via bessborough broadway banff due to collision at eglinton and bayview. ";"34";"bus";"detour";"to collision at eglinton and bayview";"collision on the road"
"3398";"1";"26";"Friday";"11";"Midday";"25 don mills diverting northbound via freshmeadow cliffwood due to collision at don mills and steeles. ";"25";"bus";"detour";"to collision at don mills and steeles";"collision on the road"
"3399";"1";"26";"Friday";"10";"Midday";"line 1 customers may experience longer than normal travel times northbound between pioneer village and vaughan metro centre stations. ";"line 1";"subway";"delay";NA;NA
"3400";"1";"26";"Friday";" 9";"Morning Rush";"line 1 reduced speed zone southbound spadina. customers can expect longer than normal travel times. ";"line 1";"subway";"delay";NA;NA
"3401";"1";"26";"Friday";" 7";"Morning Rush";"due to earlier delay customers will experience longer than normal wait times on line 3 between kennedy and mccowan stations. efforts are underway to restore regular service. ";"line 3";"subway";"delay";"to earlier delay customers will experience longer than normal wait times on line 3 between kennedy and mccowan stations";"earlier delay"
