name
Bathurst
Bayview
Bay
Bessarion
Bloor-Yonge
Broadview
Castle Frank
Chester
Christie
College
Coxwell
Davisville
Don Mills
Donlands
Downsview Park
Dufferin
Dundas West
Dundas
Dupont
Eglinton West
Eglinton
Ellesmere
Finch West
Finch
Glencairn
Greenwood
High Park
Highway 407
Islington
Jane
Keele
Kennedy
King
Kipling
Lansdowne
Lawrence East
Lawrence West
Lawrence
Leslie
Main Street
McCowan
Midland
Museum
North York Centre
Old Mill
Osgoode
Ossington
Pape
Pioneer Village
Queen
Queen's Park
Rosedale
Royal York
Runnymede
Scarborough Centre
Sheppard-Yonge
Sheppard West
Sherbourne
Spadina
St Andrew
St Clair West
St Clair
St George
St Patrick
Summerhill
Union
Vaughan
Victoria Park
Warden
Wellesley
Wilson
Woodbine
York Mills
York University
Yorkdale
