userid;username;date;time;retweets;favorites;text;geo;mentions;hashtags;tweetid;permalink
19025957;TTCnotices;2017-06-27;11:02;2;2;"ALL CLEAR: The delay westbound at King and Bathurst has cleared. 504 King has returned to regular routing. # TTC";;;# TTC;"879716618288455680";https://twitter.com/TTCnotices/status/879716618288455680
19025957;TTCnotices;2017-06-27;10:45;0;1;"504 King holding westbound at Bathurst, due to a stalled streetcar. # TTC";;;# TTC;"879712363716464645";https://twitter.com/TTCnotices/status/879712363716464645
19025957;TTCnotices;2017-06-26;06:03;0;1;"ALL CLEAR: The delay at Roncesvalles and Garden has cleared. 504 King has returned to regular routing. # TTC";;;# TTC;"879278955748102144";https://twitter.com/TTCnotices/status/879278955748102144
19025957;TTCnotices;2017-06-26;06:00;0;1;"504 King holding northbound at Roncesvalles and Garden due to mechanical issues on a streetcar. # TTC";;;# TTC;"879278274538606593";https://twitter.com/TTCnotices/status/879278274538606593
19025957;TTCnotices;2017-06-25;17:28;1;2;"ALL CLEAR: The delay at King and Parliament has cleared. 504 King has returned to regular routing. # TTC";;;# TTC;"879088874244509696";https://twitter.com/TTCnotices/status/879088874244509696
19025957;TTCnotices;2017-06-25;17:17;1;3;"504 King holding both ways at King and Parliament due to a collision. # TTC";;;# TTC;"879086163981717504";https://twitter.com/TTCnotices/status/879086163981717504
19025957;TTCnotices;2017-06-23;17:31;0;3;"ALL CLEAR: The delay at Broadview and Gerrard has cleared. 504 King has returned to regular routing. # TTC";;;# TTC;"878364806595567616";https://twitter.com/TTCnotices/status/878364806595567616
19025957;TTCnotices;2017-06-23;17:19;1;2;"504 King diverting Dundas, Parliament, due to a stalled streetcar at Broadview and Gerrard. # TTC";;;# TTC;"878361895773675520";https://twitter.com/TTCnotices/status/878361895773675520
19025957;TTCnotices;2017-06-22;00:46;0;1;"ALL CLEAR: The delay westbound at King and Strachan has now cleared and full service on the 504 King/514 Cherry service has resumed. # TTC";;;# TTC;"877749524566953985";https://twitter.com/TTCnotices/status/877749524566953985
19025957;TTCnotices;2017-06-22;00:12;0;2;"504 King/514 Cherry service diverting westbound via Spadina, Queen, Shaw due to a collision at King and Strachan. # TTC";;;# TTC;"877740939783131136";https://twitter.com/TTCnotices/status/877740939783131136
19025957;TTCnotices;2017-06-21;15:38;0;1;"ALL CLEAR: The delay at Broadview and Danforth has cleared. 504 King and 505 Dundas have returned to regular routing. # TTC";;;# TTC;"877611760768995329";https://twitter.com/TTCnotices/status/877611760768995329
19025957;TTCnotices;2017-06-21;15:37;0;1;"504 King diverting eastbound via Broadview, Dundas, Parliament, due to a collision at Broadview and Danforth. # TTC";;;# TTC;"877611461702426624";https://twitter.com/TTCnotices/status/877611461702426624
19025957;TTCnotices;2017-06-21;15:28;0;2;"ALL CLEAR: The delay at Roncesvalles and Marion has cleared. 504 King has returned to regular routing. # TTC";;;# TTC;"877609139253334017";https://twitter.com/TTCnotices/status/877609139253334017
19025957;TTCnotices;2017-06-21;15:22;0;3;"504 King turning back at Roncesvalles and Queen, due to a stalled streetcar at Roncesvalles and Marion. # TTC";;;# TTC;"877607607778680832";https://twitter.com/TTCnotices/status/877607607778680832
19025957;TTCnotices;2017-06-21;08:39;2;1;"ALL CLEAR: The delay at King and Roncesvalles is now clear and 504 King has resumed regular routing. # TTC";;;# TTC;"877506250241699840";https://twitter.com/TTCnotices/status/877506250241699840
19025957;TTCnotices;2017-06-21;08:25;2;0;"504 King diverting WB via Shaw, Queen, Roncesvalles due to a stalled streetcar at King and Roncesvalles. # TTC";;;# TTC;"877502736639590402";https://twitter.com/TTCnotices/status/877502736639590402
19025957;TTCnotices;2017-06-20;09:44;1;2;"ALL CLEAR: Dufferin and King . 504 King has returned to regular routing. # TTC";;;# TTC;"877160160086675456";https://twitter.com/TTCnotices/status/877160160086675456
19025957;TTCnotices;2017-06-20;09:26;3;3;"504 King route holding at King and Dufferin due to a disabled streetcar. # TTC";;;# TTC;"877155627373654017";https://twitter.com/TTCnotices/status/877155627373654017
19025957;TTCnotices;2017-06-18;19:43;0;1;"ALL CLEAR: The delay at King and Bathurst has cleared. 504 King has returned to regular routing. # TTC";;;# TTC;"876586197610573824";https://twitter.com/TTCnotices/status/876586197610573824
19025957;TTCnotices;2017-06-18;19:42;1;0;"504 King route holding westbound on King at Bathurst, due to a Toronto Fire investigation. # TTC";;;# TTC;"876586008413954049";https://twitter.com/TTCnotices/status/876586008413954049
19025957;TTCnotices;2017-06-18;16:40;1;0;"ALL CLEAR: The delay at Broadview and Mount Stephen has cleared. 504 King has returned to regular routing. # TTC";;;# TTC;"876540039647383553";https://twitter.com/TTCnotices/status/876540039647383553
19025957;TTCnotices;2017-06-18;16:28;0;1;"504 King route diverting westbound via Gerrard, Parliament due to a stalled streetcar at Broadview and Mount Stephen. # TTC";;;# TTC;"876537017970110464";https://twitter.com/TTCnotices/status/876537017970110464
19025957;TTCnotices;2017-06-18;09:18;0;1;"ALL CLEAR: The delay at King and University has cleared. 504 King has resumed regular routing. # TTC";;;# TTC;"876428852209340416";https://twitter.com/TTCnotices/status/876428852209340416
19025957;TTCnotices;2017-06-18;09:17;0;2;"504 King holding westbound on King at University due to the Journey to Conquer Cancer Run/Walk. # TTC";;;# TTC;"876428598256836609";https://twitter.com/TTCnotices/status/876428598256836609
19025957;TTCnotices;2017-06-17;01:37;0;2;"ALL CLEAR: The delay at King and Douro has cleared. 504 King has resumed regular routing # TTC";;;# TTC;"875950496279928833";https://twitter.com/TTCnotices/status/875950496279928833
19025957;TTCnotices;2017-06-17;01:29;1;1;"UPDATE: 504 King diverting eastbound via Shaw, Queen, Spadina due to a TPS investigation at King and Douro. # TTC";;;# TTC;"875948557290934272";https://twitter.com/TTCnotices/status/875948557290934272
19025957;TTCnotices;2017-06-17;01:14;0;2;"ALL CLEAR: The delay at King and Douro has cleared. 504 King has resumed regular routing. # TTC";;;# TTC;"875944807272767488";https://twitter.com/TTCnotices/status/875944807272767488
19025957;TTCnotices;2017-06-17;00:41;0;1;"504 King diverting eastbound via Shaw, Queen, Spadina due to a TPS investigation at King and Douro. # TTC";;;# TTC;"875936396850200578";https://twitter.com/TTCnotices/status/875936396850200578
19025957;TTCnotices;2017-06-15;08:24;1;0;"ALL CLEAR: The delay at King and Sumach has cleared. 503 Kingston and 504 King have returned to regular routing. # TTC";;;# TTC;"875328088695078913";https://twitter.com/TTCnotices/status/875328088695078913
19025957;TTCnotices;2017-06-15;08:13;4;2;"503 Kingston and 504 King diverting westbound via Queen, Parliament, due to a disabled streetcar at King and Sumach. # TTC";;;# TTC;"875325448942755840";https://twitter.com/TTCnotices/status/875325448942755840
19025957;TTCnotices;2017-06-15;02:11;1;1;"ALL CLEAR: The delay on Roncesvalles at Queen has now cleared. 504 King has resumed regular routing. # TTC";;;# TTC;"875234291315343360";https://twitter.com/TTCnotices/status/875234291315343360
19025957;TTCnotices;2017-06-14;20:06;0;0;"ALL CLEAR: The delay at Roncesvalles and Westminster has cleared. 504 King and 505 Dundas have returned to regular routing. # TTC";;;# TTC;"875142511177736192";https://twitter.com/TTCnotices/status/875142511177736192
19025957;TTCnotices;2017-06-14;19:33;0;2;"ALL CLEAR: The delay at King and Bathurst has cleared. 504 King has returned to regular routing. # TTC";;;# TTC;"875134046879309824";https://twitter.com/TTCnotices/status/875134046879309824
19025957;TTCnotices;2017-06-14;19:22;0;2;"504 King route holding westbound on King at Bathurst, due to a stalled streetcar. # TTC";;;# TTC;"875131278613512193";https://twitter.com/TTCnotices/status/875131278613512193
19025957;TTCnotices;2017-06-14;19:08;0;1;"UPDATE: 504 King and 505 Dundas turning back at Roncesvalles and Queensway, due to a collision at Roncesvalles and Westminster. # TTC";;;# TTC;"875127894237990912";https://twitter.com/TTCnotices/status/875127894237990912
19025957;TTCnotices;2017-06-14;17:54;1;0;"UPDATE: 504 King route holding both ways on Roncesvalles at Westminster, due to a collision. # TTC";;;# TTC;"875109274317410304";https://twitter.com/TTCnotices/status/875109274317410304
19025957;TTCnotices;2017-06-14;17:31;0;0;"504 King route holding northbound on Roncesvalles at Westminster, due to a collision. # TTC";;;# TTC;"875103534945103874";https://twitter.com/TTCnotices/status/875103534945103874
19025957;TTCnotices;2017-06-13;22:44;0;0;"ALL CLEAR: The delay at King and Bathurst has cleared. 504 King, 511 Bathurst and 514 Cherry have resumed regular routing. # TTC";;;# TTC;"874819918218358784";https://twitter.com/TTCnotices/status/874819918218358784
19025957;TTCnotices;2017-06-13;22:35;0;0;"UPDATE: 504 King and 514 Cherry diverting eastbound via Shaw, Queen, Spadina, due to a stalled streetcar at King and Bathurst. # TTC";;;# TTC;"874817444971466753";https://twitter.com/TTCnotices/status/874817444971466753
19025957;TTCnotices;2017-06-13;22:23;0;1;"504 King and 514 Cherry routes holding eastbound at King and Bathurst, due to a stalled streetcar. # TTC";;;# TTC;"874814548523536386";https://twitter.com/TTCnotices/status/874814548523536386
19025957;TTCnotices;2017-06-13;14:41;0;0;"ALL CLEAR: The delay on King at Jefferson has now cleared. 504 King / 514 Cherry has resumed regular routing. # TTC";;;# TTC;"874698243959123969";https://twitter.com/TTCnotices/status/874698243959123969
19025957;TTCnotices;2017-06-13;14:30;0;0;"504 King / 514 Cherry routes holding both ways on King at Jefferson, due to construction. # TTC";;;# TTC;"874695400850169856";https://twitter.com/TTCnotices/status/874695400850169856
19025957;TTCnotices;2017-06-12;21:24;0;0;"ALL CLEAR: The delay at Roncesvalles and Garden has cleared. 504 King has returned to regular routing. # TTC";;;# TTC;"874437235067809794";https://twitter.com/TTCnotices/status/874437235067809794
19025957;TTCnotices;2017-06-12;20:49;2;0;"504 King route holding both ways on Roncesvalles at Garden, due to a Toronto Fire investigation. # TTC";;;# TTC;"874428470729875459";https://twitter.com/TTCnotices/status/874428470729875459
19025957;TTCnotices;2017-06-11;18:57;0;0;"ALL CLEAR: The delay at King and River has cleared. 504 King has returned to regular routing. # TTC";;;# TTC;"874037957803593728";https://twitter.com/TTCnotices/status/874037957803593728
19025957;TTCnotices;2017-06-11;18:29;0;0;"UPDATE: 504 King diverting both ways via Parliament, Queen, Broadview due to a collision at King and River. # TTC";;;# TTC;"874030821996417024";https://twitter.com/TTCnotices/status/874030821996417024
19025957;TTCnotices;2017-06-11;18:26;0;0;"504 King route holding westbound on King at River, due to a collision. # TTC";;;# TTC;"874030221896404994";https://twitter.com/TTCnotices/status/874030221896404994
19025957;TTCnotices;2017-06-11;01:58;0;1;"ALL CLEAR: The delay on King at Bathurst has now cleared. 504 King service has resumed. # TTC";;;# TTC;"873781584855433216";https://twitter.com/TTCnotices/status/873781584855433216
19025957;TTCnotices;2017-06-11;01:57;0;1;"504 King route holding eastbound on King at Bathurst due to a security incident on board a streetcar. TTC personnel and TPS en route. # TTC";;;# TTC;"873781160144404480";https://twitter.com/TTCnotices/status/873781160144404480
19025957;TTCnotices;2017-06-10;22:48;0;2;"ALL CLEAR: The delay on King at Sumach has now cleared. 504 King has resumed regular routing. # TTC";;;# TTC;"873733683743686657";https://twitter.com/TTCnotices/status/873733683743686657
19025957;TTCnotices;2017-06-10;22:23;0;3;"504 King diverting eastbound via Parliament, Dundas, Broadivew due to a stalled streetcar on King at Sumach. # TTC";;;# TTC;"873727402802909184";https://twitter.com/TTCnotices/status/873727402802909184
